Term,Section,Former,Title,Credits,Instructional Method,Location,Start Date,End Date,Meeting Days,Start Time,End Time,Instructor(s),Seats Remaining,GERS,Purpose,Prequisites,Notes,Sort,Courses ID
Spring 2018 - Day,ART-251-01,ART-66,Contemporary Art Since 1960,4,EXAM,RAB LLR,04/28/18,04/28/18,S,08:30AM,11:00AM,,24,VP,undergraduate day,,,2,4065
Spring 2018 - Day,ART-302-01,ART-52,Painting III,4,,,,,,,,Kathleen F. Walker,12,,undergraduate day,ART-204,,1,
Spring 2018 - Day,ART-303-01,ART-53,Photographic Essay,4,STU,RAB SMR,01/08/18,04/24/18,MW,09:30AM,11:20AM,Professor Terri L. Bright,12,,undergraduate day,ART-206,,1,2685
Spring 2018 - Day,ART-303-01,ART-53,Photographic Essay,4,ADD,RAB PHS,01/08/18,04/24/18,,,,,12,,undergraduate day,ART-206,,2,2685
Spring 2018 - Day,ART-303-01,ART-53,Photographic Essay,4,EXAM,RAB SMR,04/30/18,04/30/18,M,08:30AM,11:00AM,,12,,undergraduate day,ART-206,,3,2685
Spring 2018 - Day,ART-320-01,ART-40,Advertising Design,4,STU,RAB DSS,01/08/18,04/24/18,MW,09:30AM,11:20AM,Mr. William David R. McClain,12,,undergraduate day,ART-111,,1,2686
Spring 2018 - Day,ART-320-01,ART-40,Advertising Design,4,EXAM,RAB DSS,04/30/18,04/30/18,M,08:30AM,11:00AM,,12,,undergraduate day,ART-111,,2,2686
Spring 2018 - Day,AST-220-01,,Ramayana,4,LEC,FUR 108,01/08/18,04/24/18,MWF,01:30PM,02:20PM,Dr. Edward M. Yazijian,25,UQ WC,undergraduate day,,,1,4331
Spring 2018 - Day,AST-220-01,,Ramayana,4,EXAM,FUR 108,04/30/18,04/30/18,M,12:00PM,02:30PM,,25,UQ WC,undergraduate day,,,2,4331
Spring 2018 - Day,AST-300-01,,Colloquium,2,SEM,FUR 204,01/08/18,04/24/18,T,02:30PM,03:45PM,Dr. Savita Nair,18,,undergraduate day,,,1,4309
Spring 2018 - Day,AST-300-01,,Colloquium,2,EXAM,FUR 204,04/27/18,04/27/18,F,03:30PM,06:00PM,,18,,undergraduate day,,,2,4309
Spring 2018 - Day,AST-470-01,AS-75,Seminar in Asian Studies,4,SEM,FUR 204,01/08/18,04/24/18,W,02:30PM,05:00PM,Dr. Savita Nair,15,,undergraduate day,,,1,2695
Spring 2018 - Day,AST-470-01,AS-75,Seminar in Asian Studies,4,EXAM,FUR 204,04/26/18,04/26/18,R,03:30PM,06:00PM,,15,,undergraduate day,,,2,2695
Spring 2018 - Day,BIO-075-01,BIO-75,Seminar in Biology,0,SEM,PYR 143,01/08/18,04/24/18,R,11:30AM,12:45PM,Dr. Dennis Haney,18,,undergraduate day,,,1,2700
Spring 2018 - Day,BIO-075-02,BIO-75,Seminar in Biology,0,SEM,PYR 143,01/08/18,04/24/18,T,11:30AM,12:45PM,Dr. Laura Thompson,18,,undergraduate day,,,1,2700
Spring 2018 - Day,BIO-102-01,BIO-16,Biology and the Environment,4,LEC,PYR 126,01/08/18,04/24/18,TR,10:00AM,11:15AM,Dr. Jeffrey W. Foltz,32,NE NWL,undergraduate day,,,1,2702
Spring 2018 - Day,BIO-102-01,BIO-16,Biology and the Environment,4,LAB,PYR 141,01/08/18,04/24/18,M,02:30PM,05:20PM,Dr. Jeffrey W. Foltz,32,NE NWL,undergraduate day,,,2,2702
Spring 2018 - Day,BIO-102-01,BIO-16,Biology and the Environment,4,EXAM,PYR 126,05/01/18,05/01/18,T,08:30AM,11:00AM,,32,NE NWL,undergraduate day,,,3,2702
Spring 2018 - Day,BIO-102-02,BIO-16,Biology and the Environment,4,LEC,PYR 026,01/08/18,04/24/18,TR,08:30AM,09:45AM,Dr. Travis W. Perry,32,NE NWL,undergraduate day,,,1,2702
Spring 2018 - Day,BIO-102-02,BIO-16,Biology and the Environment,4,LAB,PYR 141,01/08/18,04/24/18,T,02:30PM,05:20PM,Dr. Travis W. Perry,32,NE NWL,undergraduate day,,,2,2702
Spring 2018 - Day,BIO-102-02,BIO-16,Biology and the Environment,4,EXAM,PYR 141,04/26/18,04/26/18,TR,08:30AM,09:45AM,,32,NE NWL,undergraduate day,,,3,2702
Spring 2018 - Day,BIO-102-03,BIO-16,Biology and the Environment,4,LEC,PYR 126,01/08/18,04/24/18,MWF,10:30AM,11:20AM,Dr. John E. Quinn,32,NE NWL,undergraduate day,,,1,2702
Spring 2018 - Day,BIO-102-03,BIO-16,Biology and the Environment,4,LAB,PYR 141,01/08/18,04/24/18,W,02:30PM,05:20PM,Dr. John E. Quinn,32,NE NWL,undergraduate day,,,2,2702
Spring 2018 - Day,BIO-102-03,BIO-16,Biology and the Environment,4,EXAM,PYR 126,04/28/18,04/28/18,S,08:30AM,11:00AM,,32,NE NWL,undergraduate day,,,3,2702
Spring 2018 - Day,BIO-102-04,BIO-16,Biology and the Environment,4,LEC,PYR 126,01/08/18,04/24/18,MWF,11:30AM,12:20PM,Dr. John E. Quinn,32,NE NWL,undergraduate day,,,1,2702
Spring 2018 - Day,BIO-102-04,BIO-16,Biology and the Environment,4,LAB,PYR 141,01/08/18,04/24/18,W,02:30PM,05:20PM,Dr. John E. Quinn,32,NE NWL,undergraduate day,,,2,2702
Spring 2018 - Day,BIO-102-04,BIO-16,Biology and the Environment,4,EXAM,PYR 126,04/28/18,04/28/18,S,12:00PM,02:30PM,,32,NE NWL,undergraduate day,,,3,2702
Spring 2018 - Day,BIO-111-01,BIO-11,Foundations of Biology,4,LEC,PYR 028,01/08/18,04/24/18,TR,10:00AM,11:15AM,Dr. David M. Hollis,32,NWL,undergraduate day,,,1,2703
Spring 2018 - Day,BIO-111-01,BIO-11,Foundations of Biology,4,LAB,PYR 142,01/08/18,04/24/18,W,02:30PM,05:20PM,Dr. David M. Hollis,32,NWL,undergraduate day,,,2,2703
Spring 2018 - Day,BIO-111-01,BIO-11,Foundations of Biology,4,EXAM,PYR 028,05/01/18,05/01/18,T,08:30AM,11:00AM,,32,NWL,undergraduate day,,,3,2703
Spring 2018 - Day,BIO-111-02,BIO-11,Foundations of Biology,4,LEC,PYR 126,01/08/18,04/24/18,MWF,08:30AM,09:20AM,Dr. Wade Worthen,32,NWL,undergraduate day,,,1,2703
Spring 2018 - Day,BIO-111-02,BIO-11,Foundations of Biology,4,LAB,PYR 142,01/08/18,04/24/18,T,02:30PM,05:20PM,Dr. Wade Worthen,32,NWL,undergraduate day,,,2,2703
Spring 2018 - Day,BIO-111-02,BIO-11,Foundations of Biology,4,EXAM,PYR 126,04/27/18,04/27/18,F,08:30AM,11:00AM,,32,NWL,undergraduate day,,,3,2703
Spring 2018 - Day,BIO-111-03,BIO-11,Foundations of Biology,4,LEC,PYR 126,01/08/18,04/24/18,MWF,09:30AM,10:20AM,Dr. Wade Worthen,32,NWL,undergraduate day,,,1,2703
Spring 2018 - Day,BIO-111-03,BIO-11,Foundations of Biology,4,LAB,PYR 142,01/08/18,04/24/18,M,02:30PM,05:20PM,Dr. Wade Worthen,32,NWL,undergraduate day,,,2,2703
Spring 2018 - Day,BIO-111-03,BIO-11,Foundations of Biology,4,EXAM,PYR 126,04/30/18,04/30/18,M,08:30AM,11:00AM,,32,NWL,undergraduate day,,,3,2703
Spring 2018 - Day,BIO-111-04,BIO-11,Foundations of Biology,4,LEC,PYR 026,01/08/18,04/24/18,MWF,01:30PM,02:20PM,Staff Staff,32,NWL,undergraduate day,,,1,2703
Spring 2018 - Day,BIO-111-04,BIO-11,Foundations of Biology,4,LAB,PYR 142,01/08/18,04/24/18,R,02:30PM,05:20PM,Staff Staff,32,NWL,undergraduate day,,,2,2703
Spring 2018 - Day,BIO-111-04,BIO-11,Foundations of Biology,4,EXAM,PYR 026,04/30/18,04/30/18,M,12:00PM,02:30PM,,32,NWL,undergraduate day,,,3,2703
Spring 2018 - Day,BIO-221-01,BIO-21,Genetics,4,LEC,PYR 143,01/08/18,04/24/18,MWF,09:30AM,10:20AM,Dr. Linnea Freeman,18,,undergraduate day,"BIO-111, BIO-101 or BIO-102",,1,2705
Spring 2018 - Day,BIO-221-01,BIO-21,Genetics,4,LAB,TNS 175,01/08/18,04/24/18,M,02:30PM,05:20PM,Dr. Linnea Freeman,18,,undergraduate day,"BIO-111, BIO-101 or BIO-102",,2,2705
Spring 2018 - Day,BIO-221-01,BIO-21,Genetics,4,EXAM,PYR 143,04/30/18,04/30/18,M,08:30AM,11:00AM,,18,,undergraduate day,"BIO-111, BIO-101 or BIO-102",,3,2705
Spring 2018 - Day,BIO-221-02,BIO-21,Genetics,4,LEC,PYR 143,01/08/18,04/24/18,MWF,10:30AM,11:20AM,Dr. Linnea Freeman,18,,undergraduate day,"BIO-111, BIO-101 or BIO-102",,1,2705
Spring 2018 - Day,BIO-221-02,BIO-21,Genetics,4,LAB,TNS 172,01/08/18,04/24/18,T,02:30PM,05:20PM,Dr. Linnea Freeman,18,,undergraduate day,"BIO-111, BIO-101 or BIO-102",,2,2705
Spring 2018 - Day,BIO-221-02,BIO-21,Genetics,4,EXAM,PYR 143,04/28/18,04/28/18,S,08:30AM,11:00AM,,18,,undergraduate day,"BIO-111, BIO-101 or BIO-102",,3,2705
Spring 2018 - Day,BIO-221-03,BIO-21,Genetics,4,LEC,PYR 143,01/08/18,04/24/18,MWF,08:30AM,09:20AM,Dr. Min-Ken Liao,18,,undergraduate day,"BIO-111, BIO-101 or BIO-102",,1,2705
Spring 2018 - Day,BIO-221-03,BIO-21,Genetics,4,LAB,TNS 172,01/08/18,04/24/18,R,02:30PM,05:20PM,Dr. Min-Ken Liao,18,,undergraduate day,"BIO-111, BIO-101 or BIO-102",,2,2705
Spring 2018 - Day,BIO-221-03,BIO-21,Genetics,4,EXAM,PYR 143,04/27/18,04/27/18,F,08:30AM,11:00AM,,18,,undergraduate day,"BIO-111, BIO-101 or BIO-102",,3,2705
Spring 2018 - Day,BIO-221-04,BIO-21,Genetics,4,LEC,PYR 028,01/08/18,04/24/18,MWF,01:30PM,02:20PM,Dr. Jeffrey W. Foltz,18,,undergraduate day,"BIO-111, BIO-101 or BIO-102",,1,2705
Spring 2018 - Day,BIO-221-04,BIO-21,Genetics,4,LAB,TNS 172,01/08/18,04/24/18,W,02:30PM,05:20PM,Dr. Jeffrey W. Foltz,18,,undergraduate day,"BIO-111, BIO-101 or BIO-102",,2,2705
Spring 2018 - Day,BIO-221-04,BIO-21,Genetics,4,EXAM,PYR 028,04/30/18,04/30/18,M,12:00PM,02:30PM,,18,,undergraduate day,"BIO-111, BIO-101 or BIO-102",,3,2705
Spring 2018 - Day,BIO-222-01,BIO-22,Research and Analysis,4,LEC,PYR 131,01/08/18,04/24/18,TR,10:00AM,11:15AM,Dr. Dennis Haney,15,,undergraduate day,any BIO course enrolled at Furman,,1,2706
Spring 2018 - Day,BIO-222-01,BIO-22,Research and Analysis,4,LAB,PYR 131,01/08/18,04/24/18,T,02:30PM,05:20PM,Dr. Dennis Haney,15,,undergraduate day,any BIO course enrolled at Furman,,2,2706
Spring 2018 - Day,BIO-222-01,BIO-22,Research and Analysis,4,EXAM,PYR 131,05/01/18,05/01/18,T,08:30AM,11:00AM,,15,,undergraduate day,any BIO course enrolled at Furman,,3,2706
Spring 2018 - Day,BIO-222-02,BIO-22,Research and Analysis,4,LEC,PYR 131,01/08/18,04/24/18,MWF,10:30AM,11:20AM,Dr. Gregory Paul Lewis,15,,undergraduate day,any BIO course enrolled at Furman,,1,2706
Spring 2018 - Day,BIO-222-02,BIO-22,Research and Analysis,4,LAB,PYR 131,01/08/18,04/24/18,M,02:30PM,05:20PM,Dr. Gregory Paul Lewis,15,,undergraduate day,any BIO course enrolled at Furman,,2,2706
Spring 2018 - Day,BIO-222-02,BIO-22,Research and Analysis,4,EXAM,PYR 131,04/28/18,04/28/18,S,08:30AM,11:00AM,,15,,undergraduate day,any BIO course enrolled at Furman,,3,2706
Spring 2018 - Day,BIO-300-01,BIO-30,Cell Biology,4,LEC,PYR 026,01/08/18,04/24/18,MWF,10:30AM,11:20AM,Dr. Adi D. Dubash,18,,undergraduate day,BIO-222 and CHM-110,,1,2707
Spring 2018 - Day,BIO-300-01,BIO-30,Cell Biology,4,LAB,TNS 175,01/08/18,04/24/18,R,02:30PM,05:20PM,Dr. Adi D. Dubash,18,,undergraduate day,BIO-222 and CHM-110,,2,2707
Spring 2018 - Day,BIO-300-01,BIO-30,Cell Biology,4,EXAM,PYR 026,04/28/18,04/28/18,S,08:30AM,11:00AM,,18,,undergraduate day,BIO-222 and CHM-110,,3,2707
Spring 2018 - Day,BIO-303-01,BIO-33,Biochemistry of the Cell,4,LEC,PYR 143,01/08/18,04/24/18,MWF,01:30PM,02:20PM,Staff Staff,16,,undergraduate day,BIO-222 and CHM-120;,,1,2710
Spring 2018 - Day,BIO-303-01,BIO-33,Biochemistry of the Cell,4,LAB,TNS 161,01/08/18,04/24/18,M,01:30PM,02:20PM,Staff Staff,16,,undergraduate day,BIO-222 and CHM-120;,,2,2710
Spring 2018 - Day,BIO-303-01,BIO-33,Biochemistry of the Cell,4,EXAM,PYR 143,04/30/18,04/30/18,M,12:00PM,02:30PM,,16,,undergraduate day,BIO-222 and CHM-120;,,3,2710
Spring 2018 - Day,BIO-320-01,BIO-35,Animal Physiology,4,LEC,PYR 028,01/08/18,04/24/18,TR,08:30AM,09:45AM,Dr. David M. Hollis,18,,undergraduate day,BIO-222,,1,2711
Spring 2018 - Day,BIO-320-01,BIO-35,Animal Physiology,4,LAB,PYR 027,01/08/18,04/24/18,M,02:30PM,05:20PM,Dr. David M. Hollis,18,,undergraduate day,BIO-222,,2,2711
Spring 2018 - Day,BIO-320-01,BIO-35,Animal Physiology,4,EXAM,PYR 028,04/26/18,04/26/18,R,08:30AM,11:00AM,,18,,undergraduate day,BIO-222,,3,2711
Spring 2018 - Day,BIO-322-01,BIO-37,Human Physiology,4,LEC,PYR 026,01/08/18,04/24/18,MWF,11:30AM,12:20PM,Dr. Adi D. Dubash,18,,undergraduate day,BIO-111,,1,2713
Spring 2018 - Day,BIO-322-01,BIO-37,Human Physiology,4,LAB,PYR 027,01/08/18,04/24/18,W,02:30PM,05:20PM,Dr. Adi D. Dubash,18,,undergraduate day,BIO-111,,2,2713
Spring 2018 - Day,BIO-322-01,BIO-37,Human Physiology,4,EXAM,PYR 026,04/28/18,04/28/18,S,12:00PM,02:30PM,,18,,undergraduate day,BIO-111,,3,2713
